Borough,Block,Lot,BIN,Building,Agency,2010 Rating *,2010 Source EUI (kBtu/sq.ft.),2010 GHG Emissions Intensity (kgCO2e/ft²) †,2011 Rating * ,2011 Source EUI (kBtu/sq.ft.),2011 GHG Emissions Intensity (kgCO2e/ft²) †,2012 Rating *,2012 Source EUI (kBtu/sq.ft.),2012 GHG Emissions Intensity (kgCO2e/ft²) †,2013 Rating *,2013 Source EUI (kBtu/sq.ft.),2013 GHG Emissions Intensity (kgCO2e/ft²) †,EPAPMBenchmarkedAs,Campus Name
1,2159,51,1076750,M189,DOE, 60 , 113.8 ,4.5,62,111.1,4.6,64, 108.3 , 4.4 ,9,193.8,8.9,Individual building,
1,1545,5,1049876,M190,DOE, 96 , 104.8 ,3.8,96,104,3.8,99, 89.1 , 3.1 ,98,96.5,3.4,Individual building,
1,1152,29,1030320,M191,DOE, 88 , 99.4 ,4.7,84,106.7,5.5,97, 75.5 , 3.2 ,84,107.2,5.6,Individual building,
1,1988,166,1084132,"M192 within (M192, M848)",DOE, 85 , 101.8 ,4.9,86,98.9,4.6,94, 79.9 , 3.1 ,91,88.3,3.4,Part of a campus,"(M192, M848)"
1,2029,11,1060432,M194,DOE, 45 , 140.8 ,6.7,25,170,8.7,78, 100.3 , 3.6 ,67,114.9,4.4,Individual building,
1,2001,5,1059942,M195,DOE, 73 , 125.6 ,5.2,58,146.1,6.9,78, 118.2 , 4.5 ,73,125.3,4.8,Individual building,
1,1733,17,1076433,M197,DOE, 70 , 91.5 ,3.2,69,91.9,3.2,93, 83.7 , 2.7 ,93,83.5,2.8,Individual building,
1,1524,23,1048492,M198,DOE, 76 , 118.0 ,5.9,80,110.1,5.8,92, 87.6 , 4.4 ,87,100,5.3,Individual building,
1,1158,40,1030351,M199,DOE, 86 , 95.2 ,4.7,62,125.8,6.4,77, 107.3 , 5.0 ,64,123.5,6.1,Individual building,
1,2016,100,1060198,"M200 within (M010, M200)",DOE, 83 , 86.2 ,4,88,78.2,3.6,94, 67.2 , 3.1 ,88,78.8,3.9,Part of a campus,"(M010, M200)"
1,1816,1,1084005,"M206 within (M112, M206)",DOE, 71 , 108.5 ,4.6,73,105.6,4.3,77, 100.5 , 4.1 ,82,93.8,3.7,Part of a campus,"(M112, M206)"
1,1601,1,1051434,"M207 within (M149, M207)",DOE, 31 , 142.8 ,6.4,31,142.5,6.6,40, 130.5 , 5.6 ,50,141.3,6.1,Part of a campus,"(M149, M207)"
1,1595,15,1051410,"M208 within (M185, M208)",DOE, 97 , 53.1 ,2.3,95,56,2.6,97, 51.5 , 2.1 ,98,57.2,2.4,Part of a campus,"(M185, M208)"
1,2172,16,1076756,M218,DOE, 84 , 107.0 ,4.5,81,108.3,4.5,84, 105.0 , 4.5 ,77,115.8,5.1,Individual building,
1,1970,16,1084067,M223,DOE, 88 , 136.6 ,6.2,88,136.1,6.3,95, 111.7 , 4.5 ,87,139.5,6.7,Individual building,
1,142,1,1001533,M234,DOE, 70 , 134.2 ,5.2,74,126.6,4.8,67, 136.8 , 5.4 ,50,161,7.3,Individual building,
1,2226,41,1081910,M263,DOE, No data ,,,34,187.3,5.2,17, 220.1 , 6.1 ,8,253.2,7.2,Individual building,
1,1418,7,1087680,M267,DOE, 6 , 292.0 ,11.2,11,261.2,9.5,8, 276.1 , 11.0 ,4,314.8,13.3,Individual building,
1,1373,1,1084848,M271,DOE, 8 , 230.2 ,6.1,12,215.4,5.7,16, 200.3 , 5.3 ,17,200.8,5.3,Individual building,
1,16,40,1087945,M276,DOE, No data ,,,8,262.4,8,9, 257.1 , 7.6 ,15,233.9,7.2,Individual building,
1,1461,37,1087154,"M390 within (M183, M390)",DOE, 87 , 108.0 ,4.7,85,111,5,96, 82.4 , 2.4 ,87,107.3,4.5,Part of a campus,"(M183, M390)"
1,1713,1,1053152,M435,DOE, 94 , 85.5 ,3.5,94,84.8,3.3,97, 75.1 , 2.9 ,96,79.1,3,Individual building,
1,742,7,1013096,M440,DOE, 81 , 118.2 ,4.7,86,108.6,4.2,93, 93.3 , 3.6 ,83,113.5,4.5,Individual building,
1,408,30,1005283,"M445 within (M445, M447)",DOE, 87 , 109.2 ,5.7,92,96.3,4.6,81, 118.3 , 6.3 ,84,114.7,6.2,Part of a campus,"(M445, M447)"
1,259,44,1003214,M446,DOE, 97 , 68.6 ,2.5,98,63.8,2.4,99, 61.3 , 2.2 ,96,72.5,2.8,Individual building,
1,408,30,1005283,"M447 within (M445, M447)",DOE, 87 , 109.2 ,5.7,92,96.3,4.6,81, 118.3 , 6.3 ,84,114.7,6.2,Part of a campus,"(M445, M447)"
1,767,68,1013858,M451,DOE, 26 , 172.7 ,5.2,24,165.1,4.9,35, 151.0 , 4.4 ,23,169.5,5.1,Individual building,
1,872,57,1017828,M460,DOE, 96 , 100.2 ,5.6,97,92.6,5.1,98, 87.2 , 4.8 ,94,106.8,6.2,Individual building,
1,2160,18,1076751,"M465 within (M465, M466, M965)",DOE, 65 , 161.7 ,8.5,67,153.5,8.1,73, 145.0 , 7.7 ,73,143.8,7.6,Part of a campus,"(M465, M466, M965)"
1,2160,18,1076751,"M466 within (M465, M466, M965)",DOE, 65 , 161.7 ,8.5,67,153.5,8.1,73, 145.0 , 7.7 ,73,143.8,7.6,Part of a campus,"(M465, M466, M965)"
1,1215,1,1032128,M470,DOE, 74 , 139.3 ,5.3,80,123.7,5,91, 103.1 , 4.2 ,87,110.6,4.7,Individual building,
1,922,8,1020419,M475,DOE, 86 , 109.3 ,5.7,89,98.8,5,91, 95.9 , 4.8 ,78,118.7,6.3,Individual building,
1,16,215,1084587,M477,DOE, 47 , 201.2 ,6,36,211.5,6.5,52, 186.6 , 5.7 ,47,194.2,6,Individual building,
1,1442,1,1083343,M480,DOE, 94 , 108.2 ,5.9,97,96.3,5.1,99, 86.0 , 4.4 ,98,89.1,4.7,Individual building,
1,1156,30,1030341,M485,DOE, 73 , 155.2 ,7.2,78,139.4,6.3,87, 122.7 , 5.4 ,81,135.3,6.2,Individual building,
1,998,41,1069583,M486,DOE, 34 , 216.5 ,8.4,42,192.2,7.4,50, 180.7 , 6.8 ,48,182.7,7.4,Individual building,
1,1330,13,1038593,M488,DOE, No data ,,, No data ,,, No data ,,,22,231.8,6.9,Individual building,
1,1157,25,1030343,M490,DOE, 46 , 194.3 ,7.8,45,187.9,7.5,57, 170.8 , 6.5 ,54,173.9,6.8,Individual building,
1,1654,33,1075643,M495,DOE, 84 , 100.5 ,4.5,84,95.4,4.1,96, 70.0 , 2.6 ,94,76.3,3,Individual building,
1,1752,22,1054156,M501,DOE, 87 , 109.4 ,5.1,73,126.3,6.2,83, 112.5 , 5.3 ,76,121.9,5.8,Individual building,
1,1855,9,1055911,M506,DOE, 45 , 186.5 ,5.8,41,184.5,5.8,52, 168.8 , 5.2 ,51,169,5.2,Individual building,
1,422,72,1005626,M510,DOE, 84 , 116.9 ,4,89,102.3,3.5,90, 99.6 , 3.4 ,86,109.2,4,Individual building,
1,113,100,1001388,M520,DOE, 8 , 271.3 ,13.5,12,242.5,11.2,32, 194.1 , 6.9 ,25,206.7,9.1,Individual building,
1,2164,32,1063928,M528,DOE, 66 , 206.1 ,7,67,203.9,6.7,67, 202.5 , 6.6 ,75,186.9,6.2,Individual building,
1,1079,29,1083802,M535,DOE, 48 , 143.7 ,6.8,73,160.3,7.6,79, 149.8 , 6.9 ,82,143.4,7.1,Individual building,
1,1957,78,1059409,M540,DOE, 66 , 133.1 ,4.9,92,90,2.8,89, 94.9 , 3.2 ,59,141,5.5,Individual building,
1,774,19,1014174,M600,DOE, 91 , 100.0 ,5.6,95,88.6,4.8,96, 82.6 , 4.4 ,93,93.8,5.2,Individual building,
1,491,16,1007378,M615,DOE, 96 , 103.7 ,3.5,96,96.8,3.3,98, 85.8 , 2.9 ,97,94.6,3.3,Individual building,
1,889,1,1018491,M620,DOE, 39 , 196.6 ,9,34,196,8.8,42, 184.5 , 8.0 ,26,212.5,9.9,Individual building,
1,1059,15,1026646,M625,DOE, 100 , 80.6 ,3.6,100,78.6,3.5,100, 66.4 , 2.7 ,100,73.6,3.2,Individual building,
1,581,54,1009757,M641,DOE, 57 , 127.3 ,4.6,55,122.1,4.5,66, 111.3 , 4.0 ,84,88.8,3,Individual building,
1,1668,1,1083927,M645,DOE, 89 , 76.4 ,3.2,85,78.4,3.2,89, 74.3 , 3.1 ,87,76.2,3.5,Individual building,
1,1558,34,1050338,M646,DOE, 43 , 170.0 ,6.1,30,184.9,6.9,58, 144.1 , 4.8 ,54,149.3,5.3,Individual building,
1,878,16,1018014,M660,DOE, 81 , 135.4 ,5.3,82,128,5.2,84, 125.7 , 5.0 ,77,138,5.2,Individual building,
1,921,64,1020416,M661,DOE, 79 , 182.0 ,8.5,87,165.4,7.2,95, 133.1 , 5.7 ,89,159,6.7,Individual building,
1,446,20,1006208,M751,DOE, 81 , 121.4 ,4.5,76,124.5,4.5,86, 109.3 , 3.9 ,72,130.9,5,Individual building,
1,1554,15,1050217,M816,DOE, 100 , 29.8 ,0.8,92,99,5.4,96, 84.7 , 4.0 ,91,103.2,5.4,Individual building,
1,2126,14,1063017,M828,DOE, 52 , 232.1 ,7.3,36,265,8.8,80, 172.0 , 5.9 ,81,170.3,5.7,Individual building,
1,52,1,1001037,M833,DOE, 16 , 218.1 ,11.2,19,205.7,9.8,9, 231.8 , 11.7 ,15,209.2,9.9,Individual building,
1,1065,1,1026841,M834,DOE, 43 , 164.9 ,5,37,165.6,5.3,61, 134.2 , 3.9 ,41,160.2,5,Individual building,
1,1154,108,1030328,M837,DOE, 43 , 222.8 ,6.9,47,208.2,6.3,59, 188.2 , 5.5 ,55,193.9,5.8,Individual building,
1,1230,1,1032754,M841,DOE, 6 , 171.0 ,7.4,35,177.1,7.7,42, 165.9 , 6.9 ,63,138.2,5,Individual building,
1,955,1,1022052,M844,DOE, 60 , 156.8 ,6.5,55,161.7,6.9,85, 114.4 , 4.4 ,78,127.7,5.4,Individual building,
1,2229,12,1064871,"M845 within (M098, M845)",DOE, 35 , 120.3 ,9.9,43,112.4,9.4,49, 105.5 , 8.8 ,38,118.3,9.4,Part of a campus,"(M098, M845)"
1,2106,50,1082090,"M846 within (M046, M846)",DOE, 87 , 52.2 ,1.5,90,49.3,1.4,94, 43.8 , 1.2 ,93,46.5,1.3,Part of a campus,"(M046, M846)"
1,2173,1,1064149,"M847 within (M152, M847)",DOE, 39 , 134.8 ,6,43,130.5,5.9,53, 118.5 , 5.2 ,40,134.5,6.4,Part of a campus,"(M152, M847)"
1,1988,166,1084132,"M848 within (M192, M848)",DOE, 85 , 101.8 ,4.9,86,98.9,4.6,94, 79.9 , 3.1 ,91,88.3,3.4,Part of a campus,"(M192, M848)"
1,1471,5,1045949,M855,DOE, 25 , 226.4 ,6.4,40,186.8,5.6,42, 186.2 , 5.2 ,34,198.4,5.7,Individual building,
1,2155,6,1063699,M859,DOE, 65 , 154.3 ,5.7,41,191.1,7.5,60, 160.9 , 5.7 ,56,167.9,6.2,Individual building,
1,2123,45,1085733,M876,DOE, 2 , 299.3 ,8.5,2,281.6,8,4, 248.9 , 7.1 ,3,259.3,7.4,Individual building,
4,3549,44,4085584,Q075,DOE, 91 , 95.8 ,4.2,88,102.4,5.1,87, 103.3 , 5.2 ,95,84.3,3.8,Individual building,
1,2215,824,1082045,"M884 within (M898, M884)",DOE, 95 , 143.6 ,4.3,95,142.2,4.2,94, 147.9 , 4.3 ,93,151.8,4.6,Part of a campus,"(M898, M884)"
1,51,15,1001035,M894,DOE, 24 , 169.8 ,11.2,31,154.6,10.2,33, 147.4 , 9.7 ,38,140.1,9.2,Individual building,
1,2215,824,1082045,"M898 within (M898, M884)",DOE, 95 , 143.6 ,4.3,95,142.2,4.2,94, 147.9 , 4.3 ,93,151.8,4.6,Part of a campus,"(M898, M884)"
1,2167,29,1076752,"M902 within (M048, M902)",DOE, 36 , 158.7 ,4.8,22,181.3,5.4,16, 194.5 , 5.6 ,20,184.4,5.5,Part of a campus,"(M048, M902)"
1,1752,59,1054159,M911,DOE, 67 , 119.3 ,5.2,56,126.7,5.8,72, 108.8 , 4.5 ,66,115.1,5.2,Individual building,
1,1967,24,1084102,M916,DOE, No data ,,, No data ,,, No data ,,,74,121.5,4.6,Individual building,
1,2215,831,1064704,M918,DOE, 88 , 92.5 ,2.8,91,86,2.6,82, 101.8 , 3.1 ,86,96.6,3.2,Individual building,
1,1852,99,1055908,"M919 within (M163, M919)",DOE, 82 , 106.8 ,5.1,79,112.2,5.4,85, 101.3 , 4.5 ,72,122,6,Part of a campus,"(M163, M919)"
1,2150,30,1084201,"M921 within (M005, M921)",DOE, 36 , 155.8 ,4.9,44,144.1,4.6,56, 128.8 , 4.0 ,42,147.4,4.7,Part of a campus,"(M005, M921)"
1,2160,18,1076751,"M965 within (M465, M466, M965)",DOE, 65 , 161.7 ,8.5,67,153.5,8.1,73, 145.0 , 7.7 ,73,143.8,7.6,Part of a campus,"(M465, M466, M965)"
1,1940,35,1058843,M970,DOE, 17 , 220.8 ,6.7,16,212.7,6.5,12, 213.8 , 6.5 ,8,217.8,6.8,Individual building,
1,100,7502,1087485,M971,DOE, No data ,,,N/A,,3.7,1, 303.6 , 7.9 ,1,362.8,9.4,Individual building,
4,971,1,4021375,Q002,DOE, 85 , 96.1 ,3.3,75,110.6,4,82, 100.8 , 3.3 ,83,100,3.5,Individual building,
4,2218,21,4052265,Q003,DOE, 54 , 172.2 ,6.3,56,168.1,6.1,67, 151.7 , 5.1 ,69,148.3,5,Individual building,
4,2450,17,4454423,Q005,DOE, 9 , 205.8 ,6.4,10,203,6.6,15, 185.9 , 5.8 ,11,199.8,6.5,Individual building,
4,1538,75,4467710,Q007,DOE, 40 , 157.3 ,5,41,154.1,4.9,45, 148.3 , 4.7 ,37,161.5,5.3,Individual building,
4,10178,1,4216655,Q008,DOE, 32 , 121.3 ,5.3,32,121.1,5.4,43, 108.7 , 4.5 ,44,109.3,4.6,Individual building,
4,2631,106,4059130,Q009,DOE, 96 , 90.6 ,3.2,96,91.5,3.4,99, 73.1 , 2.5 ,99,77.2,2.8,Individual building,
4,714,1,4012664,Q010,DOE, 73 , 101.8 ,3.7,96,64.1,2,99, 50.8 , 1.3 ,98,56.9,1.5,Individual building,
4,1239,1,4028447,"Q011 within (Q011, Q810, Q932)",DOE, 14 , 176.2 ,7.7,30,144.9,6.1,77, 121.7 , 4.8 ,61,145.6,6.4,Part of a campus,"(Q011, Q810, Q932)"
4,1349,28,4031853,Q012,DOE, 48 , 125.4 ,5.2,52,120.9,4.8,52, 120.0 , 4.6 ,52,122,4.9,Individual building,
4,1901,40,4437297,Q013,DOE, 95 , 76.1 ,2.6,29,145.4,4.3,56, 112.5 , 3.5 ,32,142,4.5,Individual building,
4,1954,37,4437311,Q014,DOE, 44 , 105.2 ,3.7,40,109,3.8,54, 99.6 , 3.6 ,58,101.2,3.7,Individual building,
4,12672,1,4273142,Q015,DOE, 40 , 185.9 ,6.9,50,170,6.5,70, 139.4 , 5.0 ,64,148.8,5.2,Individual building,
4,594,1,4007663,Q017,DOE, 91 , 83.2 ,3.8,88,88.9,4.2,95, 74.2 , 3.3 ,96,70.6,3,Individual building,
4,7955,2,4166561,Q018,DOE, 95 , 75.5 ,3.8,92,81.6,4,87, 91.0 , 4.3 ,97,68.3,3,Individual building,
4,1607,1,4437176,"Q019 within (Q019, Q914, Q819)",DOE, 74 , 124.3 ,4.4,64,138.2,4.8,73, 124.8 , 4.3 ,71,128.2,4.6,Part of a campus,"(Q019, Q914, Q819)"
4,5047,1,4114657,Q020,DOE, 73 , 126.1 ,4.3,62,140.6,5.2,75, 122.0 , 4.5 ,61,143.2,5.3,Individual building,
4,4803,1,4108665,Q021,DOE, 53 , 105.0 ,4.4,50,107.4,4.4,62, 95.3 , 3.8 ,52,105.4,4.4,Individual building,
4,5328,1,4438184,"Q022 within (Q022, Q959)",DOE, 86 , 101.5 ,4.4,80,110.4,5.1,91, 89.8 , 3.8 ,83,105,5,Part of a campus,"(Q022, Q959)"
4,4956,55,4112106,Q023,DOE, 92 , 141.1 ,4.8,90,142.2,4.9,94, 129.2 , 4.4 ,90,143.4,5.2,Individual building,
4,5201,21,4117403,"Q024 within (Q024, Q936)",DOE, 75 , 129.2 ,5,81,118.3,4.7,91, 98.6 , 3.9 ,86,109.6,4.3,Part of a campus,"(Q024, Q936)"
4,5261,1,4119139,Q025,DOE, 46 , 146.5 ,6.7,42,151.5,7.2,74, 110.8 , 4.5 ,64,124,5.6,Individual building,
4,7117,421,4153296,Q026,DOE, 70 , 93.5 ,4.8,66,97.6,5.3,83, 78.4 , 3.9 ,67,97.7,5.3,Individual building,
4,2003,23,4529578,Q028,DOE, 35 , 174.9 ,5.8,28,184.3,6.1,45, 157.4 , 5.0 ,50,152.2,5.1,Individual building,
4,4229,14,4099925,"Q029 within (Q029, Q952)",DOE, 64 , 123.2 ,5.5,41,151.5,5.9,40, 143.0 , 5.0 ,46,125.1,4.7,Part of a campus,"(Q029, Q952)"
4,12495,65,4270045,"Q030 within (Q030, Q962)",DOE, 92 , 105.6 ,5,91,106.7,5.2,96, 90.3 , 4.4 ,96,89.1,4.1,Part of a campus,"(Q030, Q962)"
4,7316,18,4156949,Q031,DOE, 2 , 161.5 ,7.8,11,127.2,6.3,18, 113.4 , 5.5 ,9,133.2,6.8,Individual building,
4,5256,1,4118954,"Q032 within (Q032, Q922)",DOE, 70 , 101.4 ,5.4,79,91.1,4.6,91, 72.8 , 3.5 ,74,97.4,5.3,Part of a campus,"(Q032, Q922)"
4,10756,1,4230589,"Q033 within (Q033, Q931)",DOE, 73 , 100.8 ,4,64,110.7,4.8,71, 102.1 , 4.1 ,62,113.1,4.7,Part of a campus,"(Q033, Q931)"
4,11151,81,4240503,"Q034 within (Q034, Q834)",DOE, 54 , 122.8 ,4.5,48,129.4,5,66, 108.4 , 4.0 ,57,119.4,4.5,Part of a campus,"(Q034, Q834)"
4,10447,7,4222137,"Q035 within (Q035, Q929)",DOE, 72 , 120.9 ,4.3,73,119,4.2,80, 108.4 , 4.0 ,82,105,3.6,Part of a campus,"(Q035, Q929)"
4,12439,32,4268900,"Q036 within (Q036, Q836)",DOE, 17 , 191.5 ,8.8,31,163.5,7,46, 142.9 , 6.0 ,29,167.8,7.7,Part of a campus,"(Q036, Q836)"
4,12993,118,4279864,Q037,DOE, 26 , 144.1 ,6.6,24,146.1,7.3,51, 113.4 , 4.9 ,29,138.6,7.3,Individual building,
4,13222,1,4284236,"Q038 within (Q038, Q946)",DOE, 62 , 141.6 ,5.1,61,141.7,5.6,73, 125.7 , 4.5 ,62,141.7,5.5,Part of a campus,"(Q038, Q946)"
4,12151,1,4263341,"Q040 within (Q040, Q988)",DOE, 64 , 125.4 ,5.1,61,129.3,5.2,71, 116.3 , 4.7 ,68,121,5.1,Part of a campus,"(Q040, Q988)"
4,6121,1,4135975,"Q041 within (Q041, Q728)",DOE, 54 , 123.3 ,5.1,69,106.7,4,68, 106.9 , 3.7 ,66,110.4,4.4,Part of a campus,"(Q041, Q728)"
4,16039,14,4302817,Q042,DOE, 78 , 96.0 ,4.8,85,80,4.5,32, 123.3 , 5.2 ,39,117.3,5.4,Individual building,
4,15820,1,4467711,"Q043 within (Q043, Q920)",DOE, 14 , 197.7 ,6.7,27,167.6,5.9,76, 116.9 , 3.7 ,35,174.7,6.8,Part of a campus,"(Q043, Q920)"
4,12104,1,4262725,Q045,DOE, 92 , 91.9 ,3.6,95,83.9,3.2,98, 68.8 , 2.6 ,95,84.3,3.3,Individual building,
4,7619,1,4162449,Q046,DOE, 81 , 121.6 ,6.3,90,102.2,4.9,96, 86.5 , 3.7 ,95,90.3,4,Individual building,
4,15313,485,4448968,Q047,DOE, 31 , 594.2 ,25.4,40,549.3,22.3,59, 460.7 , 16.9 ,38,557.8,21.3,Individual building,
4,10144,42,4216099,Q048,DOE, 56 , 175.9 ,6.6,91,110,4.3,97, 89.9 , 3.5 ,90,113,4.9,Individual building,
4,2990,45,4069253,Q049,DOE, 15 , 220.0 ,7.2,22,223.3,7,30, 204.8 , 6.4 ,20,230.1,7.3,Individual building,
4,10024,12,4214461,"Q050 within (Q050, Q850)",DOE, 68 , 154.4 ,5.7,57,171.4,6.5,69, 151.3 , 5.6 ,72,147.3,5.3,Part of a campus,"(Q050, Q850)"
4,9327,26,4449704,Q051,DOE, 60 , 163.9 ,5.2,66,153.9,4.8,64, 155.4 , 4.7 ,72,143.8,4.5,Individual building,
4,13353,20,4285972,"Q052 within (Q052, Q960)",DOE, 85 , 128.0 ,4.7,82,132.7,4.8,86, 125.5 , 4.4 ,85,127.8,4.8,Part of a campus,"(Q052, Q960)"
4,15557,25,4298234,Q053,DOE, 27 , 130.5 ,5.8,31,125.3,5.6,44, 110.5 , 4.8 ,27,131.2,5.9,Individual building,
4,9280,1,4193916,"Q054 within (Q054, Q864)",DOE, 82 , 102.8 ,3.7,82,102.6,4.2,91, 85.4 , 3.1 ,81,105.1,3.9,Part of a campus,"(Q054, Q864)"
4,9477,1,4200233,"Q055 within (Q055, Q865, Q953)",DOE, 75 , 121.6 ,4.5,60,141.1,5.8,80, 112.2 , 4.3 ,77,117.7,4.4,Part of a campus,"(Q055, Q865, Q953)"
4,9226,57,4192689,"Q056 within (Q056, Q995)",DOE, 82 , 120.8 ,4.3,86,112.5,3.9,90, 103.9 , 3.6 ,85,115.2,4.2,Part of a campus,"(Q056, Q995)"
4,2802,94,4062861,Q058,DOE, 66 , 126.1 ,4,74,114,3.5,75, 113.0 , 3.6 ,68,122.5,3.8,Individual building,
4,12723,76,4274083,Q059,DOE, 96 , 63.1 ,2.2,90,77.7,3,96, 63.9 , 2.4 ,94,69.3,2.7,Individual building,
4,8929,58,4184144,"Q060 within (Q060, Q860)",DOE, 94 , 96.9 ,3.2,96,87.6,2.9,98, 78.2 , 2.5 ,98,79.8,2.7,Part of a campus,"(Q060, Q860)"
4,1891,32,4046834,Q061,DOE, 54 , 122.3 ,4.9,65,109.1,4.4,88, 91.9 , 3.6 ,79,106.2,4.9,Individual building,
4,9410,1,4197909,Q062,DOE, 77 , 103.9 ,3.6,75,106.2,3.7,81, 97.4 , 3.3 ,78,102.6,3.7,Individual building,
4,9155,25,4190727,Q063,DOE, 63 , 127.4 ,4.8,67,121.3,4.5,81, 102.7 , 3.7 ,73,113.3,4.2,Individual building,
4,9053,14,4188214,Q064,DOE, 81 , 122.4 ,5.9,83,119.6,6,95, 89.1 , 4.2 ,87,110.4,5.7,Individual building,
4,9183,1,4191497,"Q066 within (Q066, Q989)",DOE, 86 , 111.8 ,3.9,93,94.4,3.5,93, 95.0 , 3.1 ,90,104.4,3.5,Part of a campus,"(Q066, Q989)"
4,8221,12,4170797,Q067,DOE, 92 , 71.6 ,3.4,91,73.1,3.6,97, 58.2 , 2.6 ,94,67.5,3.3,Individual building,
4,3579,1,4437837,Q068,DOE, 55 , 147.4 ,5,66,132.4,4.2,66, 131.6 , 4.1 ,60,141.2,4.9,Individual building,
4,1288,1,4029892,"Q069 within (Q069, Q869)",DOE, 58 , 141.4 ,4.6,56,143.3,4.4,63, 133.5 , 4.2 ,43,161.1,5.4,Part of a campus,"(Q069, Q869)"
4,696,14,4442503,"Q070 within (Q070, Q970)",DOE, 30 , 153.6 ,6.3,38,142.8,6.3,96, 64.0 , 3.0 ,73,102.4,4.7,Part of a campus,"(Q070, Q970)"
4,3492,7,4083519,Q071,DOE, 90 , 83.8 ,3.5,91,81.9,3.3,93, 77.3 , 3.1 ,91,82.2,3.2,Individual building,
4,12495,270,4270059,Q072,DOE, 71 , 109.1 ,4.9,73,106.4,4.8,82, 94.2 , 3.8 ,87,87.3,3.4,Individual building,
4,2503,31,4058611,"Q073 within (Q073, Q873)",DOE, 23 , 107.3 ,4.8,50,83.1,4,91, 60.4 , 2.6 ,78,77.5,3.5,Part of a campus,"(Q073, Q873)"
4,7723,1,4163953,Q074,DOE, 86 , 108.6 ,4.9,86,106.4,4.9,90, 98.2 , 4.4 ,89,101.5,4.9,Individual building,
4,354,1,4004331,Q076,DOE, 93 , 79.9 ,2.6,93,88.1,2.9,99, 65.2 , 2.2 ,97,72.2,2.6,Individual building,
4,4647,1,4105232,"Q079 within (Q079, Q766)",DOE, 58 , 102.3 ,4.8,93,62,3.4,94, 62.1 , 3.4 ,61,103.7,5,Part of a campus,"(Q079, Q766)"
4,12495,166,4270056,Q080,DOE, 78 , 99.5 ,4.6,79,98.5,4.5,93, 85.9 , 3.8 ,90,94.2,4.5,Individual building,
4,3437,1,4082076,"Q081 within (Q081, Q917)",DOE, 90 , 89.8 ,3.4,86,96.5,3.8,93, 83.1 , 2.8 ,89,91,3.6,Part of a campus,"(Q081, Q917 )"
4,9684,8,4206905,Q082,DOE, 51 , 142.5 ,5.4,49,144.7,5.7,73, 113.9 , 3.9 ,74,113.1,4.1,Individual building,
4,794,17,4015334,Q084,DOE, 85 , 93.9 ,3.3,87,90.3,3.3,95, 72.5 , 2.6 ,92,80.7,3,Individual building,
4,842,31,4017485,"Q085 within (Q085, Q981)",DOE, 59 , 112.4 ,4.1,77,115.1,4.2,86, 101.6 , 3.7 ,83,107.6,4.1,Part of a campus,"(Q085, Q981)"
4,9774,1,4438678,"Q086 within (Q505, Q086, Q506)",DOE, 98 , 78.1 ,3.7,98,81,3.7,96, 90.6 , 4.4 ,95,95.1,4.6,Part of a campus,"(Q505, Q086, Q506)"
4,3782,27,4091737,Q087,DOE, 91 , 93.9 ,3.3,93,90.1,3.2,92, 90.6 , 3.2 ,63,135.7,4.4,Individual building,
4,3534,12,4085173,Q088,DOE, 12 , 258.1 ,8.6,12,255,8.5,19, 226.5 , 7.4 ,12,244.4,8.4,Individual building,
4,1514,1,4037370,Q089,DOE, 21 , 203.8 ,7.1,24,196.2,7,15, 217.4 , 8.1 ,46,160.5,5.1,Individual building,
4,9204,28,4192167,Q090,DOE, 74 , 79.4 ,2.8,68,84.3,2.9,75, 94.6 , 3.1 ,82,87.5,3,Individual building,
4,3683,1,4089566,Q091,DOE, 71 , 111.2 ,4.8,75,105,4.4,80, 98.0 , 4.1 ,76,103.5,4.6,Individual building,
4,3490,1,4083511,Q093,DOE, 96 , 98.9 ,3.8,97,94,4,99, 78.4 , 3.0 ,99,84.4,3.6,Individual building,
4,8135,29,4169468,Q094,DOE, 63 , 121.6 ,5,70,113.2,4.6,75, 105.8 , 4.2 ,48,139.9,5.2,Individual building,
4,9914,1,4446042,"Q095 within (Q095, Q910)",DOE, 86 , 108.2 ,4.1,88,102.7,3.7,93, 90.8 , 3.2 ,92,95.3,3.7,Part of a campus,"(Q095, Q910)"
4,11694,27,4253028,"Q096 within (Q096, Q986)",DOE, 91 , 112.8 ,4.8,93,106.5,4.2,98, 85.0 , 3.2 ,96,95.3,3.9,Part of a campus,"(Q096, Q986)"
4,8855,20,4181565,Q097,DOE, 90 , 97.5 ,3.5,87,102.9,3.8,95, 83.0 , 2.9 ,90,98,3.5,Individual building,
4,8082,285,4168629,Q098,DOE, 89 , 107.6 ,4.1,92,99.5,3.8,94, 92.1 , 3.5 ,92,100.3,3.8,Individual building,
4,3360,1,4080168,Q099,DOE, 16 , 166.5 ,8.2,10,191.5,10.1,17, 170.2 , 8.3 ,14,179.7,9.5,Individual building,
4,11623,1,4250416,Q100,DOE, 75 , 112.0 ,3.9,69,118.3,4.3,78, 106.2 , 3.7 ,73,112.9,4.2,Individual building,
4,3270,1,4078312,Q101,DOE, 79 , 128.4 ,5,67,147.3,6,81, 124.2 , 5.0 ,84,120.3,4.8,Individual building,
4,2879,31,4437597,Q102,DOE, 4 , 228.8 ,7.1,12,188,5.8,43, 134.8 , 4.1 ,35,145.4,4.5,Individual building,
